Time,Weekday,Count
0,Monday,0
1,Monday,0
2,Monday,0
3,Monday,0
4,Monday,0
5,Monday,0
6,Monday,0
7,Monday,10
8,Monday,3
9,Monday,0
10,Monday,0
11,Monday,2
12,Monday,0
13,Monday,0
14,Monday,0
15,Monday,0
16,Monday,2
17,Monday,0
18,Monday,2
19,Monday,0
20,Monday,0
21,Monday,0
22,Monday,2
23,Monday,0
0,Tuesday,0
1,Tuesday,0
2,Tuesday,0
3,Tuesday,0
4,Tuesday,0
5,Tuesday,2
6,Tuesday,4
7,Tuesday,6
8,Tuesday,2
9,Tuesday,0
10,Tuesday,1
11,Tuesday,0
12,Tuesday,0
13,Tuesday,1
14,Tuesday,0
15,Tuesday,0
16,Tuesday,1
17,Tuesday,0
18,Tuesday,7
19,Tuesday,0
20,Tuesday,0
21,Tuesday,0
22,Tuesday,0
23,Tuesday,1
0,Wednesday,0
1,Wednesday,0
2,Wednesday,0
3,Wednesday,0
4,Wednesday,0
5,Wednesday,1
6,Wednesday,1
7,Wednesday,3
8,Wednesday,8
9,Wednesday,0
10,Wednesday,1
11,Wednesday,0
12,Wednesday,0
13,Wednesday,0
14,Wednesday,3
15,Wednesday,0
16,Wednesday,0
17,Wednesday,0
18,Wednesday,2
19,Wednesday,0
20,Wednesday,0
21,Wednesday,1
22,Wednesday,0
23,Wednesday,0
0,Thursday,0
1,Thursday,0
2,Thursday,0
3,Thursday,0
4,Thursday,0
5,Thursday,0
6,Thursday,1
7,Thursday,3
8,Thursday,6
9,Thursday,1
10,Thursday,0
11,Thursday,0
12,Thursday,3
13,Thursday,0
14,Thursday,0
15,Thursday,0
16,Thursday,0
17,Thursday,0
18,Thursday,2
19,Thursday,0
20,Thursday,0
21,Thursday,3
22,Thursday,1
23,Thursday,0
0,Friday,0
1,Friday,0
2,Friday,0
3,Friday,0
4,Friday,0
5,Friday,0
6,Friday,0
7,Friday,4
8,Friday,7
9,Friday,0
10,Friday,0
11,Friday,1
12,Friday,0
13,Friday,0
14,Friday,1
15,Friday,0
16,Friday,0
17,Friday,0
18,Friday,1
19,Friday,0
20,Friday,0
21,Friday,1
22,Friday,0
23,Friday,0
0,Saturday,0
1,Saturday,0
2,Saturday,0
3,Saturday,0
4,Saturday,0
5,Saturday,0
6,Saturday,0
7,Saturday,0
8,Saturday,0
9,Saturday,0
10,Saturday,2
11,Saturday,2
12,Saturday,5
13,Saturday,0
14,Saturday,0
15,Saturday,1
16,Saturday,1
17,Saturday,0
18,Saturday,0
19,Saturday,1
20,Saturday,4
21,Saturday,5
22,Saturday,1
23,Saturday,0
0,Sunday,0
1,Sunday,0
2,Sunday,0
3,Sunday,0
4,Sunday,0
5,Sunday,0
6,Sunday,0
7,Sunday,0
8,Sunday,0
9,Sunday,0
10,Sunday,6
11,Sunday,0
12,Sunday,0
13,Sunday,0
14,Sunday,3
15,Sunday,0
16,Sunday,4
17,Sunday,0
18,Sunday,2
19,Sunday,2
20,Sunday,0
21,Sunday,1
22,Sunday,3
23,Sunday,0
